ZAMÓWIENIE NR: ZM_GLASS 0001/10/2025/???;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Dostawca:;;;;;;;;;;Odbiorca:;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Telefon: ;;;;;;;;;;;;;;;;;;
;;;Fax: ;;;;;;;;;;Fax: ;;;;;;;;
;;;EMail:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;;;;;33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;20,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Fax: ;;;;;;;;;;;;;;;;;;
;;;EMail:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
33.2 (6,76mm) Thermofloat 1,1 /18Ar Cr Cz/4mm Float/18Ar Cr Cz/4mm Thermofloat 1,1 hartowany  Ug=0,5;;;;;;;;;;;;33.2 (6,76mm) Thermofloat 1,1 /18Ar Cr Cz/4mm Float/18Ar Cr Cz/4mm Thermofloat 1,1 hartowany  Ug=0,5;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;50,4 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
1;;824 mm;;2351 mm;3; 1,94; 5,81;; 213,27;; 200,00;;; 387,44;;1 162,33;478-2025:3:2;;;;
2;;844 mm;;2351 mm;3; 1,98; 5,95;; 218,45;; 200,00;;; 396,85;;1 190,55;478-2025:3:1;;;;
3;;1098 mm;;2305 mm;5; 2,53; 12,65;; 464,38;; 200,00;;; 506,18;;2 530,89;478-2025:4:1;;;;
4;;1098 mm;;2305 mm;8; 2,53; 20,25;; 743,01;; 200,00;;; 506,18;;4 049,42;478-2025:12:1;;;;
5;;1098 mm;;2305 mm;3; 2,53; 7,59;; 278,63;; 200,00;;; 506,18;;1 518,53;478-2025:15:1;;;;
6;;1098 mm;;2305 mm;7; 2,53; 17,72;; 650,14;; 200,00;;; 506,18;;3 543,25;478-2025:22:1;;;;
Razem:;;;;;29;; 69,97;;2 567,88;;;;;;;13 994,97;Pozycji:;;;;6
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Wszystkie rezultaty obliczeń powinny zostać sprawdzone przez Wykonawcę pod względem ilościowym, jakościowym i konstrukcyjno-wytrzymałościowym;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;4 (4);;;;;;;;;;01.10.2025;;;
